'strain','stress'
0.00693,5.88735
0.0067,6.12678
0.00699,7.22848
0.00759,5.45231
0.00719,5.33598
0.00711,7.14528
0.0068,5.32424
0.00652,6.13513
0.00709,7.47704
0.00676,4.80834
0.00646,6.00029
0.00703,6.80543
0.00695,6.06236
0.00715,5.79841
0.00698,5.80832
0.00699,5.75459
0.00677,6.13278
0.00746,4.993
0.00749,5.10203
0.00733,4.6276
0.00787,6.20738
0.00748,7.74803
0.0074,5.46587
0.00728,5.78798
0.00751,5.92256
0.00672,6.43716
0.00735,6.554
0.00748,5.74364
0.00786,5.19175
0.00773,6.25406
0.00782,6.09418
0.0077,6.5707
0.00763,6.05115
0.00719,5.20661
0.0077,6.27102
0.00759,5.94212
0.00721,5.27964
0.00776,6.15391
0.00771,5.93221
0.00768,5.12967
0.00785,6.53783
0.00696,4.72671
0.00694,4.38843
0.00713,7.01696
0.00702,4.97475
0.00688,5.09159
0.00719,6.00316
0.00706,5.63931
0.00789,6.3683
0.0074,5.64192
0.00773,5.41527
0.00761,6.54435
0.0073,6.74545
0.00787,7.19614
0.00775,5.54646
0.00759,4.62473
0.00728,6.02141
0.00783,4.66124
0.00752,6.801
0.00777,6.596
0.00702,5.97525
0.00745,4.65681
0.00748,4.95232
0.00762,7.0433
0.00725,8.76184
0.00686,8.76444
0.00727,9.72321
0.00803,8.15595
0.00803,8.50023
0.00793,7.64553
0.00738,8.20473
0.00725,7.42436
0.00753,7.89566
0.007,8.66768
0.0075,9.06308
0.00714,10.1014
0.00768,9.01796
0.00761,9.14524
0.00786,8.6296
0.00783,8.98431
0.00809,8.40451
0.00808,9.83302
0.00724,9.14889
0.00783,8.60169
0.00763,8.39538
0.00765,7.85471
0.0076,8.6416
0.00777,9.07169
0.00762,9.28817
0.00752,9.8578
0.00759,6.92515
0.00765,7.96451
0.00764,8.77279
0.00779,8.61004
0.00825,8.76601
0.00812,9.39954
0.00819,8.53544
0.00878,8.95901
0.0082,7.82315
0.00843,9.07195
0.00872,8.41729
0.00853,7.53155
0.00853,8.90294
0.0082,8.73993
0.0087,9.46448
0.00856,8.17838
0.00876,8.92302
0.00828,9.13272
0.00845,7.39906
0.00809,8.56987
0.00824,7.6111
0.00843,9.02031
