,case,mean,std
42,DOM_CUB_NSLIP_4_SET_2_ANISO_400,0.29434800927972843,0.21356273625616062
43,DOM_CUB_NSLIP_4_SET_3_ANISO_125,0.30897644256787843,0.1728259465868068
44,DOM_CUB_NSLIP_4_SET_3_ANISO_150,0.30491345155273725,0.18660967397458053
45,DOM_CUB_NSLIP_4_SET_3_ANISO_175,0.30120286724144213,0.19977592358494495
46,DOM_CUB_NSLIP_4_SET_3_ANISO_200,0.29904447560333,0.20940988573651487
47,DOM_CUB_NSLIP_4_SET_3_ANISO_300,0.2976454545844648,0.2208792796496967
48,DOM_CUB_NSLIP_4_SET_3_ANISO_400,0.2976471189984262,0.2213251437546337
49,DOM_CUB_NSLIP_4_SET_4_ANISO_125,0.30870798860460164,0.1684421637886195
50,DOM_CUB_NSLIP_4_SET_4_ANISO_150,0.30726371687350335,0.1788661386600073
51,DOM_CUB_NSLIP_4_SET_4_ANISO_175,0.3060174571083155,0.19078388492140363
52,DOM_CUB_NSLIP_4_SET_4_ANISO_200,0.3053602464294527,0.2016482107595366
53,DOM_CUB_NSLIP_4_SET_4_ANISO_300,0.30461715123785443,0.22444644371979378
54,DOM_CUB_NSLIP_4_SET_4_ANISO_400,0.3042654311530563,0.22531980750595676
55,DOM_CUB_NSLIP_4_SET_5_ANISO_125,0.30482535540270944,0.16898716508430928
56,DOM_CUB_NSLIP_4_SET_5_ANISO_150,0.3006569237851465,0.17741454871698095
57,DOM_CUB_NSLIP_4_SET_5_ANISO_175,0.29792735326318354,0.1850722248483923
58,DOM_CUB_NSLIP_4_SET_5_ANISO_200,0.2964684418889103,0.19024436922057192
59,DOM_CUB_NSLIP_4_SET_5_ANISO_300,0.2967036344242195,0.19915351595269495
60,DOM_CUB_NSLIP_4_SET_5_ANISO_400,0.29528824347489907,0.19640098931367744
61,DOM_CUB_NSLIP_6_SET_1_ANISO_125,0.3093457113090859,0.16820362564755603
62,DOM_CUB_NSLIP_6_SET_1_ANISO_150,0.30710020192561227,0.17824785681099847
63,DOM_CUB_NSLIP_6_SET_1_ANISO_175,0.30429499254549525,0.18892400206058207
64,DOM_CUB_NSLIP_6_SET_1_ANISO_200,0.3019460686176617,0.19885752886711358
65,DOM_CUB_NSLIP_6_SET_1_ANISO_300,0.2962320617624532,0.23464549897574158
66,DOM_CUB_NSLIP_6_SET_1_ANISO_400,0.2957757030970854,0.23887655626817547
67,DOM_CUB_NSLIP_6_SET_2_ANISO_125,0.30720416901065745,0.1743875060127606
68,DOM_CUB_NSLIP_6_SET_2_ANISO_150,0.3008829280369265,0.1881708081962239
69,DOM_CUB_NSLIP_6_SET_2_ANISO_175,0.2947076917653182,0.20074095457765456
70,DOM_CUB_NSLIP_6_SET_2_ANISO_200,0.28924305660318655,0.21145102926130913
71,DOM_CUB_NSLIP_6_SET_2_ANISO_300,0.2743414043571711,0.2513192413940287
72,DOM_CUB_NSLIP_6_SET_2_ANISO_400,0.26809504164576586,0.2859541761885936
73,DOM_CUB_NSLIP_6_SET_3_ANISO_125,0.3102159963443411,0.16963994268089772
74,DOM_CUB_NSLIP_6_SET_3_ANISO_150,0.3066496482537237,0.18051075199750444
75,DOM_CUB_NSLIP_6_SET_3_ANISO_175,0.30264483095104994,0.19035889391833838
76,DOM_CUB_NSLIP_6_SET_3_ANISO_200,0.2993131090784101,0.19722632090160278
77,DOM_CUB_NSLIP_6_SET_3_ANISO_300,0.29292486446486465,0.21306649560878266
